ast-types-flow,0.0.7,ISC,https://github.com/kyldvs/ast-types-flow#readme
astral-regex,1.0.0,MIT,github.com/kevva
async,1.5.2,MIT,Unknown
async,2.6.1,MIT,https://caolan.github.io/async/
async-each,1.0.1,MIT,https://github.com/paulmillr/async-each/
async-foreach,0.1.3,MIT*,http://github.com/cowboy/javascript-sync-async-foreach
async-limiter,1.0.0,MIT,Unknown
asynckit,0.4.0,MIT,https://github.com/alexindigo/asynckit#readme
atob,2.1.1,(MIT OR Apache-2.0),https://git.coolaj86.com/coolaj86/atob.js.git
autoprefixer,6.7.7,MIT,Unknown
autoprefixer,7.2.6,MIT,Unknown
autoprefixer-rails,8.5.0,MIT,https://github.com/ai/autoprefixer-rails
aws-sign2,0.6.0,Apache 2.0,http://www.futurealoof.com
aws-sign2,0.7.0,Apache 2.0,http://www.futurealoof.com
aws4,1.7.0,MIT,http://github.com/mhart
axe-matchers,2.1.1,Mozilla Public License 2.0,https://www.deque.com
axiom-types,0.1.1,MIT,https://github.com/dkubb/axiom-types
axios,0.16.2,MIT,https://github.com/mzabriskie/axios
axios,0.18.0,MIT,https://github.com/axios/axios
axobject-query,2.0.1,Apache 2.0,https://github.com/A11yance/axobject-query#readme
babel-code-frame,6.26.0,MIT,https://babeljs.io/
babel-core,6.26.3,MIT,https://babeljs.io/
babel-eslint,8.2.6,MIT,https://github.com/babel/babel-eslint
babel-generator,6.26.1,MIT,https://babeljs.io/
babel-helper-builder-binary-assignment-operator-visitor,6.24.1,MIT,Unknown
babel-helper-builder-react-jsx,6.26.0,MIT,Unknown
babel-helper-call-delegate,6.24.1,MIT,Unknown
babel-helper-define-map,6.26.0,MIT,Unknown
babel-helper-explode-assignable-expression,6.24.1,MIT,Unknown
babel-helper-function-name,6.24.1,MIT,Unknown
babel-helper-get-function-arity,6.24.1,MIT,Unknown
babel-helper-hoist-variables,6.24.1,MIT,Unknown
babel-helper-optimise-call-expression,6.24.1,MIT,Unknown
babel-helper-regex,6.26.0,MIT,Unknown
babel-helper-remap-async-to-generator,6.24.1,MIT,Unknown
babel-helper-replace-supers,6.24.1,MIT,Unknown
babel-helpers,6.24.1,MIT,https://babeljs.io/
babel-jest,22.4.4,MIT,Unknown
babel-loader,7.1.5,MIT,https://github.com/babel/babel-loader
babel-messages,6.23.0,MIT,https://babeljs.io/
babel-plugin-check-es2015-constants,6.22.0,MIT,Unknown
babel-plugin-istanbul,4.1.6,New BSD,https://github.com/istanbuljs/babel-plugin-istanbul#readme
babel-plugin-jest-hoist,22.4.4,MIT,Unknown
babel-plugin-syntax-async-functions,6.13.0,MIT,Unknown
babel-plugin-syntax-class-properties,6.13.0,MIT,Unknown
babel-plugin-syntax-dynamic-import,6.18.0,MIT,Unknown
babel-plugin-syntax-exponentiation-operator,6.13.0,MIT,Unknown
babel-plugin-syntax-flow,6.18.0,MIT,Unknown
babel-plugin-syntax-jsx,6.18.0,MIT,Unknown
babel-plugin-syntax-object-rest-spread,6.13.0,MIT,Unknown
babel-plugin-syntax-trailing-function-commas,6.22.0,MIT,Unknown
babel-plugin-transform-async-to-generator,6.24.1,MIT,Unknown
babel-plugin-transform-class-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-arrow-functions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-block-scoped-functions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-block-scoping,6.26.0,MIT,Unknown
babel-plugin-transform-es2015-classes,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-computed-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-destructuring,6.23.0,MIT,Unknown
